,FEDFUNDS,CPIAUCSL,T10Y2Y,INDPRO
2006-02-28,4.49,199.1,-0.14,110.878
2006-03-31,4.59,199.8,0.04,111.2088
2006-04-30,4.79,201.0,0.2,112.2624
2006-05-31,4.94,201.9,0.08,112.0991
2006-06-30,4.99,202.3,-0.01,113.2096
2006-07-31,5.24,203.2,0.02,113.5293
2006-08-31,5.25,203.7,-0.05,113.7063
2006-09-30,5.25,202.7,-0.07,113.1336
2006-10-31,5.25,201.7,-0.1,113.6615
2006-11-30,5.25,201.7,-0.16,112.3227
2006-12-31,5.24,202.8,-0.11,112.4425
2007-01-31,5.25,203.153,-0.11,111.9282
2007-02-28,5.26,203.906,-0.09,113.1433
2007-03-31,5.26,205.146,0.07,112.4866
2007-04-30,5.25,205.999,0.03,113.0344
2007-05-31,5.25,207.387,-0.02,112.6889
2007-06-30,5.25,207.784,0.16,113.3704
2007-07-31,5.26,208.028,0.22,113.8604
2007-08-31,5.02,207.738,0.39,114.4254
2007-09-30,4.94,208.292,0.62,114.357
2007-10-31,4.76,208.903,0.54,113.9957
2007-11-30,4.49,210.565,0.93,113.9019
2007-12-31,4.24,211.16,0.99,113.9673
2008-01-31,3.94,212.516,1.5,114.2334
2008-02-29,2.98,212.571,1.88,113.6597
2008-03-31,2.61,213.301,1.83,112.1281
2008-04-30,2.28,213.743,1.48,111.1807
2008-05-31,1.98,215.132,1.4,110.9051
2008-06-30,2.0,217.403,1.36,111.7251
2008-07-31,2.01,219.181,1.47,111.8419
2008-08-31,2.0,218.88,1.47,110.3034
2008-09-30,1.81,218.813,1.85,107.254
2008-10-31,0.97,216.71,2.45,107.2854
2008-11-30,0.39,213.06,1.93,106.1173
2008-12-31,0.16,211.49,1.49,103.5966
2009-01-31,0.15,212.174,1.93,101.337
2009-02-28,0.22,213.007,2.02,99.7298
2009-03-31,0.18,212.714,1.9,97.3755
2009-04-30,0.15,212.671,2.25,97.0723
2009-05-31,0.18,212.876,2.55,95.8402
2009-06-30,0.21,214.459,2.42,95.3964
2009-07-31,0.16,214.469,2.39,95.9709
2009-08-31,0.16,215.428,2.43,97.4422
2009-09-30,0.15,215.791,2.36,98.4622
2009-10-31,0.12,216.385,2.51,98.6271
2009-11-30,0.12,217.25,2.54,99.4398
2009-12-31,0.12,217.541,2.71,100.3043
2010-01-31,0.11,217.587,2.81,101.0516
2010-02-28,0.13,217.591,2.8,100.9862
2010-03-31,0.16,217.729,2.82,101.61
2010-04-30,0.2,217.579,2.72,102.2666
2010-05-31,0.2,217.224,2.55,103.538
2010-06-30,0.18,216.929,2.36,92.5354
2010-07-31,0.18,217.597,2.39,93.4009
2010-08-31,0.19,218.15,2.0,93.2093
2010-09-30,0.19,218.372,2.11,93.1902
2010-10-31,0.19,218.879,2.29,93.3753
2010-11-30,0.19,219.146,2.36,93.8961
2010-12-31,0.18,220.252,2.69,94.8756
2011-01-31,0.17,221.062,2.84,95.1452
2011-02-28,0.16,222.27,2.73,95.485
2011-03-31,0.14,223.49,2.67,93.5904
2011-04-30,0.1,224.433,2.71,93.097
2011-05-31,0.09,224.804,2.6,92.9815
2011-06-30,0.09,224.304,2.73,93.07
2011-07-31,0.07,225.425,2.46,94.1525
2011-08-31,0.1,226.268,2.03,94.0419
2011-09-30,0.08,226.955,1.67,94.1851
2011-10-31,0.07,226.763,1.92,94.7136
2011-11-30,0.08,226.72,1.83,94.8263
2011-12-31,0.07,226.747,1.64,95.2915
2012-01-31,0.08,227.505,1.61,95.9054
2012-02-29,0.1,228.433,1.68,96.1735
