observation_date,DTB3_20260430
9/30/2010,0.16
10/1/2010,0.16
10/4/2010,0.13
10/5/2010,0.12
10/6/2010,0.13
10/7/2010,0.13
10/8/2010,0.12
10/11/2010,
10/12/2010,0.13
10/13/2010,0.13
10/14/2010,0.14
10/15/2010,0.14
10/18/2010,0.15
10/19/2010,0.14
10/20/2010,0.14
10/21/2010,0.13
10/22/2010,0.13
10/25/2010,0.14
10/26/2010,0.14
10/27/2010,0.14
10/28/2010,0.13
10/29/2010,0.12
11/1/2010,0.13
11/2/2010,0.13
11/3/2010,0.13
11/4/2010,0.13
11/5/2010,0.13
11/8/2010,0.13
11/9/2010,0.13
11/10/2010,0.13
11/11/2010,
11/12/2010,0.13
11/15/2010,0.14
11/16/2010,0.15
11/17/2010,0.14
11/18/2010,0.15
11/19/2010,0.14
11/22/2010,0.15
11/23/2010,0.15
11/24/2010,0.16
11/25/2010,
11/26/2010,0.16
11/29/2010,0.18
11/30/2010,0.17
12/1/2010,0.16
12/2/2010,0.16
12/3/2010,0.14
12/6/2010,0.15
12/7/2010,0.14
12/8/2010,0.15
12/9/2010,0.14
12/10/2010,0.13
12/13/2010,0.15
12/14/2010,0.15
12/15/2010,0.14
12/16/2010,0.13
12/17/2010,0.11
12/20/2010,0.14
12/21/2010,0.14
12/22/2010,0.14
12/23/2010,0.14
12/24/2010,
12/27/2010,0.17
12/28/2010,0.15
12/29/2010,0.13
12/30/2010,0.12
12/31/2010,0.12
1/3/2011,0.15
1/4/2011,0.14
1/5/2011,0.14
1/6/2011,0.15
1/7/2011,0.14
1/10/2011,0.15
1/11/2011,0.15
1/12/2011,0.15
1/13/2011,0.15
1/14/2011,0.15
1/17/2011,
1/18/2011,0.16
1/19/2011,0.16
1/20/2011,0.16
1/21/2011,0.16
1/24/2011,0.16
1/25/2011,0.16
1/26/2011,0.16
1/27/2011,0.15
1/28/2011,0.15
1/31/2011,0.15
2/1/2011,0.15
2/2/2011,0.16
2/3/2011,0.14
2/4/2011,0.15
2/7/2011,0.16
2/8/2011,0.15
2/9/2011,0.14
2/10/2011,0.12
2/11/2011,0.12
2/14/2011,0.13
2/15/2011,0.13
2/16/2011,0.12
2/17/2011,0.09
2/18/2011,0.1
2/21/2011,
2/22/2011,0.12
2/23/2011,0.12
2/24/2011,0.13
2/25/2011,0.13
2/28/2011,0.15
3/1/2011,0.14
3/2/2011,0.13
3/3/2011,0.13
3/4/2011,0.12
3/7/2011,0.11
3/8/2011,0.11
3/9/2011,0.1
3/10/2011,0.08
3/11/2011,0.08
3/14/2011,0.09
3/15/2011,0.1
3/16/2011,0.1
3/17/2011,0.08
3/18/2011,0.07
3/21/2011,0.1
3/22/2011,0.1
3/23/2011,0.09
3/24/2011,0.09
3/25/2011,0.09
3/28/2011,0.11
3/29/2011,0.1
3/30/2011,0.1
